id,name,sex,religion,occupation,social_status,allegiance_last,allegiance_switched,intro_season,intro_episode,intro_time_sec,intro_time_hrs,dth_flag,dth_season,dth_episode,dth_time_sec,dth_time_hrs,censor_time_sec,censor_time_hrs,exp_season,exp_episode,exp_time_sec,exp_time_hrs,featured_episode_count,prominence,dth_description,icd10_dx_code,icd10_dx_text,icd10_cause_code,icd10_cause_text,icd10_place_code,icd10_place_text,top_location,geo_location,time_of_day,,,,,,
100,Waymar Royce,1,9,2,2,3,1,1,1,1,0.00,1,1,1,342,0.10,342,0.10,1,1,342,0.10,1,1.0000,Killed by a white walker in a forest,T14,Injury of unspecified body region,X99.0,Assault by knife,Y92.84,Forest,2,1,1,,,,,,
101,Gared Tuttle,1,9,2,2,3,1,1,1,1,0.00,1,1,1,405,0.11,405,0.11,1,1,405,0.11,1,1.0000,Decapitation by a white walker in a forest,S18,Traumatic amputation at neck level,X99.0,Assault by knife,Y92.84,Forest,2,1,1,,,,,,
102,Will,1,9,2,2,3,1,1,1,1,0.00,1,1,1,692,0.19,692,0.19,1,1,692,0.19,1,1.0000,Decapitation by Ned Stark (legal execution) in a field,S18,Traumatic amputation at neck level,Y35.5,Legal execution,Y92.86,Other specified countryside,2,1,1,,,,,,
103,Irri,2,1,2,2,2,2,1,1,135,0.04,1,2,16,48623,13.51,48623,13.51,2,16,48489,13.47,13,1.6250,Strangled to death with a tassel by Doreah in a room in a castle in Qarth,T71,Asphyxiation,X91,"Assault by hanging, strangulation and suffocation",Y92.0,Home,1,2,1,,,,,,
104,Jon Snow,1,4,2,1,3,2,1,1,454,0.13,0,,,,,230800,64.11,8,73,230347,63.99,63,6.9041,,,,,,,,,,,,,,,,
105,Bran Stark,1,4,1,1,1,1,1,1,454,0.13,0,,,,,230800,64.11,8,73,230347,63.99,40,4.3836,,,,,,,,,,,,,,,,
106,Robb Stark,1,3,1,1,1,1,1,1,454,0.13,1,3,29,88074,24.47,88074,24.47,3,29,87621,24.34,22,2.2759,Shot by arrows and stabbed in the abdomen in the wedding hall at The Twins,S31,"Open wound of abdomen, lower back and pelvis",X99.8,Assault by other specified sharp object,Y92.0,Home,1,1,2,,,,,,
107,Rodrik Cassel,1,9,2,2,1,1,1,1,457,0.13,1,2,16,46178,12.83,46178,12.83,2,16,45722,12.70,15,1.8750,Decapitated by Theon Greyjoy in Winterfell castle grounds,S18,Traumatic amputation at neck level,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.0,Home,2,1,1,,,,,,
108,Rickon Stark,1,4,9,1,1,1,1,1,467,0.13,1,6,59,177403,49.28,177403,49.28,6,59,176937,49.15,14,1.4237,Shot with an arrow through the thorax by Ramsay Bolton in field near Winterfell,S21,Open wound of chest,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.86,Other specified countryside,2,1,1,,,,,,
109,Eddard Stark,1,4,1,1,8,1,1,1,467,0.13,1,1,9,28072,7.80,28072,7.80,1,9,27606,7.67,9,1.0000,Decapitated by Ilyn Payne on the steps of the Great Sept of Baelor,S18,Traumatic amputation at neck level,Y35.5,Legal execution,Y92.29,Other specified institution and public administrative area,2,1,1,,,,,,
110,Catelyn Stark,2,3,1,1,1,1,1,1,467,0.13,1,3,29,88106,24.47,88106,24.47,3,29,87640,24.34,24,2.4828,Throat slit by Walder Frey in the wedding hall at The Twins,S11,Open wound of neck,X99.0,Assault by knife,Y92.0,Home,1,1,2,,,,,,
111,Mordane ,2,3,1,2,8,1,1,1,484,0.13,1,1,9,27966,7.77,27966,7.77,1,9,27483,7.63,7,0.7778,Decapitated by The Lannisters at King's Landing,S18,Traumatic amputation at neck level,X99.0,Assault by knife,Y92.9,Unspecified place of occurrence,9,1,9,,,,,,
112,Sansa Stark,2,4,1,1,1,2,1,1,484,0.13,0,,,,,230800,64.11,8,73,230317,63.98,59,6.4658,,,,,,,,,,,,,,,,
